ejec,pd_t,pf_t
1,2.795775,0.000378708
2,2.791802792,0.000368833
3,2.797979125,0.000374667
4,2.791828542,0.000369666
5,2.792286041,0.000370583
6,2.83399675,0.00036875
7,2.789571583,0.000368042
8,2.789321375,0.000372
9,2.787708,0.000373708
10,2.79105925,0.000369333
11,2.798177333,0.000370875
12,2.840431416,0.000399667
13,2.797852916,0.000375792
14,2.795610083,0.000381416
15,2.795785208,0.00036975
16,2.819971416,0.000378166
17,2.835634666,0.000372958
18,2.790284959,0.000370125
19,2.791888042,0.00037275
20,2.798001417,0.000368375
21,2.841031583,0.000376042
22,2.790034625,0.000387459
23,2.791810708,0.000376875
24,2.789832708,0.0003685
25,2.790222041,0.000371292
26,2.789823084,0.00037275
27,2.787442208,0.000371917
28,2.788650375,0.000370291
29,2.789289791,0.000372333
30,2.832264125,0.0003735
