ejec,is_t,ss_t,bs_t
1,3.875e-6,0.000016833,0.000020125
2,3.334e-6,0.000016083,0.000018542
3,3.375e-6,0.000015958,0.000019
4,3.209e-6,0.000016042,0.000018542
5,2.917e-6,0.00001575,0.0000185
6,3.375e-6,0.000015958,0.000019125
7,3.459e-6,0.00001725,0.000018916
8,3.292e-6,0.000016042,0.000018
9,3.541e-6,0.000015875,0.000018875
10,3.417e-6,0.000016,0.000018583
11,3.416e-6,0.000015917,0.000019125
12,3.208e-6,0.000016042,0.000017666
13,3.375e-6,0.000015875,0.000017959
14,3.375e-6,0.000016083,0.00001925
15,3.166e-6,0.000016083,0.00001875
16,3.208e-6,0.000015958,0.000017625
17,3.458e-6,0.000016,0.000018333
18,3.417e-6,0.000015959,0.000018292
19,3.25e-6,0.000016,0.000018084
20,3.458e-6,0.000015666,0.0000185
21,3.458e-6,0.000016083,0.000017833
22,3.042e-6,0.000015959,0.000018084
23,3.25e-6,0.000016,0.000018125
24,3.291e-6,0.000015917,0.000017792
25,3.125e-6,0.000016166,0.000018917
26,3.334e-6,0.000016042,0.000018375
27,3.25e-6,0.000016125,0.000017667
28,3.083e-6,0.000015958,0.0000175
29,3.458e-6,0.000016,0.000019
30,3.125e-6,0.000016,0.000018291
